radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,641,14,1000,11691,,32.574354,0.315068,0,1,1,1459778906,1459778906,
UMTS,641,10,6008,132064,,32.550823,0.403497,68,12,1,1366333441,1376640397,-105
UMTS,641,10,6008,147155,452,32.554704,0.403036,1901,47,1,1366334367,1470719452,-96
GSM,641,10,110,996,,32.550875,0.403657,0,1,1,1366736820,1366736820,-97
GSM,641,10,110,16083,,32.550868,0.403686,0,1,1,1366736820,1366736820,-85
GSM,641,10,6008,16083,,32.569053,0.408037,2082,72,1,1366738394,1472043991,-77
UMTS,641,10,6008,139699,42,32.574481,0.392492,2912,2,1,1366743170,1458620074,
UMTS,641,10,6007,131194,63,32.563401,0.233363,91,17,1,1367170488,1458620069,-105
UMTS,641,10,6008,138545,79,32.551716,0.39642,1077,50,1,1376638426,1470719452,-90
UMTS,641,10,6008,146634,321,32.550348,0.392852,1230,24,1,1376640371,1470719452,-79
UMTS,641,10,6008,138549,189,32.553392,0.395367,1568,54,1,1376640713,1470719452,-92
UMTS,641,10,6008,146638,421,32.549464,0.394296,1158,33,1,1376640739,1458620075,-81
UMTS,641,10,6008,138547,173,32.561393,0.399849,1155,3,1,1376641656,1472364767,-91
GSM,641,10,2013,16083,,32.560074,0.405029,47,9,1,1376649777,1383655404,-80
GSM,641,10,807,7471,,32.559271,0.404636,1866,59,1,1376649782,1458931557,-78
GSM,641,10,2013,11117,,32.552979,0.402309,856,5,1,1376649812,1383655419,-81
GSM,641,10,2013,11113,,32.553482,0.403744,1884,8,1,1376649813,1458931562,-82
GSM,641,10,1203,651,,33.751576,0.566893,35,13,1,1382558876,1382593814,-97
UMTS,641,10,6002,66188,,33.751511,0.566805,0,1,1,1382593814,1382593814,-109
GSM,641,10,6002,441,,33.75151,0.566815,0,1,1,1382593814,1382593814,-83
GSM,641,10,1203,441,,33.751509,0.566812,0,1,1,1382593814,1382593814,-99
UMTS,641,10,6007,412387,471,32.47609,0.066629,18,4,1,1462090072,1466439147,
GSM,641,10,2013,11112,,32.55802,0.406019,1633,7,1,1383655401,1458931562,-87
GSM,641,10,2013,15562,,32.557389,0.401808,610,10,1,1383655402,1383655404,-82
GSM,641,10,807,8021,,32.551289,0.397987,0,1,1,1383655403,1383655403,-91
GSM,641,10,2013,996,,32.556433,0.403482,4024,14,1,1383655403,1458931562,-84
GSM,641,10,2013,11116,,32.560231,0.404945,1,2,1,1383655404,1383655404,-86
GSM,641,10,201,3065,,32.605204,0.336469,7288,1511,1,1239165076,1239165201,
GSM,641,10,201,12163,,32.60546,0.336614,648,588,1,1239165076,1239165201,
GSM,641,10,201,3061,,32.605252,0.336467,1684,75,1,1239165078,1239165198,
GSM,641,10,201,3064,,32.605354,0.336594,43,36,1,1239165080,1239165174,
GSM,641,10,103,8461,,32.580272,0.31559,64,27,1,1239165080,1239165081,
GSM,641,10,103,1661,,32.579844,0.315041,7,3,1,1239165081,1239165081,
GSM,641,10,103,1665,,32.57947,0.314568,57,13,1,1239165081,1239165081,
GSM,641,10,103,1667,,32.579686,0.31388,78,31,1,1239165081,1239165081,
